;Company;Product;Type_Name;Inches;Screen_Resolution;Cpu;RAM;Memory;GPU;OS;Weight;Price
299;Lenovo;V330-15IKB (i5-8250U/8GB/256GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;2.05kg;739.00 EUR
300;Lenovo;Legion Y720-15IKB;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1060;Windows 10;3.2kg;1 299.00 EUR
301;Acer;Aspire A715-71G;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050 Ti;Linux;2.5kg;979.00 EUR
302;Dell;Precision 7720;Workstation;17.3;Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;16GB;256GB SSD;Nvidia Quadro M1200;Windows 10;3.42kg;2 884.86 EUR
303;Lenovo;IdeaPad 310-15ABR;Notebook;15.6;Full HD 1920x1080;AMD A10-Series 9600P 2.4GHz;6GB;1TB HDD;AMD Radeon R5 430;Windows 10;2.4kg;499.00 EUR
304;Asus;ZenBook UX530UQ-PRO;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Nvidia GeForce 940MX;Windows 10;1.63kg;1 468.00 EUR
305;Asus;VivoBook S14;Notebook;14;1366x768;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.3kg;509.00 EUR
306;Asus;Rog GL702VS-GC095T;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.9kg;2 122.00 EUR
307;Lenovo;IdeaPad 320-17IKB;Notebook;17.3;1600x900;Intel Core i5 7200U 2.5GHz;6GB;1TB HDD;Nvidia GeForce GTX 940M;Windows 10;2.8kg;649.00 EUR
308;Lenovo;IdeaPad 320-15IKBN;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;8GB;2TB HDD;Nvidia GeForce 940MX;No OS;2.2kg;549.00 EUR
309;Asus;GL553VE-FY082T (i7-7700HQ/8GB/1TB;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5kg;1 265.00 EUR
310;Lenovo;IdeaPad 320-15IAP;Notebook;15.6;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Intel HD Graphics 505;No OS;2.2kg;359.99 EUR
311;HP;EliteBook x360;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i7 7600U 2.8GHz;16GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.28kg;1 975.00 EUR
312;Toshiba;Satellite Pro;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 930M;Windows 10;2.2kg;1 043.00 EUR
313;Lenovo;IdeaPad 320-15IKB;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.3kg;819.00 EUR
314;HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;1.86kg;469.00 EUR
315;Lenovo;IdeaPad 720S-13IKB;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.1kg;999.00 EUR
316;Dell;XPS 13;Ultrabook;13.3;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16GB;1TB SSD;Intel UHD Graphics 620;Windows 10;1.21kg;2 499.00 EUR
317;MSI;GE63VR 7RF;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.8kg;2 099.00 EUR
318;Acer;ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;AMD A8-Series 7410 2.2GHz;8GB;256GB SSD;AMD Radeon R5;Windows 10;2.23kg;469.00 EUR
319;Asus;VivoBook Flip;2 in 1 Convertible;11.6;Touchscreen 1366x768;Intel Celeron Dual Core N3350 1.1GHz;2GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.1kg;275.00 EUR
320;Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.33kg;844.00 EUR
321;HP;Spectre x360;2 in 1 Convertible;13.3;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16GB;1TB SSD;Intel UHD Graphics 620;Windows 10;1.29kg;2 449.00 EUR
322;Lenovo;ThinkPad 13;Notebook;13.3;1366x768;Intel Celeron Dual Core 3855U 1.6GHz;4GB;16GB Flash Storage;Intel HD Graphics 510;Chrome OS;1.45kg;459.90 EUR
323;HP;ProBook 640;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.95kg;980.00 EUR
324;Acer;TravelMate B;Notebook;11.6;1366x768;Intel Pentium Quad Core N3710 1.6GHz;4GB;128GB Flash Storage;Intel HD Graphics 405;Windows 10;1.4kg;485.00 EUR
325;HP;Elitebook 840;Notebook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.48kg;1 292.00 EUR
326;Lenovo;IdeaPad 320-17IKB;Notebook;17.3;1600x900;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.79kg;589.00 EUR
327;Asus;ZenBook UX410UA-GV183T;Notebook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2kg;1 094.00 EUR
329;HP;ProBook 450;Notebook;15.6;IPS Panel Full HD 1366x768;Intel Core i7 8550U 1.8GHz;8GB;1TB HDD;Intel UHD Graphics 620;Windows 10;2.1kg;902.00 EUR
330;Acer;Aspire 5;Notebook;15.6;1366x768;AMD A12-Series 9720P 2.7GHz;8GB;256GB SSD;AMD Radeon RX 540;Windows 10;2.2kg;659.00 EUR
331;Lenovo;IdeaPad 120S-14IAP;Notebook;14;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.44kg;292.00 EUR
332;Acer;Aspire E5-575;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;6GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.23kg;549.00 EUR
333;Asus;VivoBook S15;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.7kg;1 049.90 EUR
334;HP;Elitebook 820;Ultrabook;12.5;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.26kg;1 335.00 EUR
335;Dell;XPS 15;Notebook;15.6;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;32GB;1TB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06kg;2 639.00 EUR
336;MSI;GL72M 7REX;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7kg;1 199.00 EUR
337;Toshiba;Satellite Pro;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.0kg;943.00 EUR
338;Asus;UX510UX-CN269T (i7-7500U/8GB/256GB;Notebook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD +  1TB HDD;Intel HD Graphics 620;Windows 10;2kg;1 334.00 EUR
339;Lenovo;V310-15ISK (i3-6006U/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;1.85kg;449.00 EUR
340;Asus;FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.5kg;999.00 EUR
341;HP;EliteBook 840;Notebook;14;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.48kg;1 268.00 EUR
342;Dell;Inspiron 7570;Ultrabook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;1.9kg;1 049.00 EUR
343;HP;Elitebook 850;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.84kg;1 144.00 EUR
344;Asus;X541NA (N3350/4GB/1TB/Linux);Notebook;15.6;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;Linux;2kg;274.99 EUR
345;Dell;Inspiron 7570;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;2kg;1 142.75 EUR
346;Dell;Inspiron 3552;Notebook;15.6;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4GB;500GB HDD;Intel HD Graphics;Linux;2.2kg;274.90 EUR
347;Lenovo;IdeaPad 320-15ABR;Notebook;15.6;Full HD 1920x1080;AMD A12-Series 9720P 3.6GHz;12GB;2TB HDD;AMD Radeon 530;Windows 10;2.2kg;899.00 EUR
348;HP;ProBook 450;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Nvidia GeForce 930MX ;Windows 10;2.1kg;716.00 EUR
349;Lenovo;Yoga 920-13IKB;2 in 1 Convertible;13.9;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.4kg;2 099.00 EUR
350;Dell;XPS 13;Ultrabook;13.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.2kg;1 579.00 EUR
351;Lenovo;Legion Y520-15IKBN;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.4kg;1 129.00 EUR
352;HP;Stream 14-AX001nv;Notebook;14;1366x768;Intel Celeron Dual Core N3060 1.6GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Windows 10;1.44kg;279.00 EUR
353;Dell;Latitude 5590;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 8650U 1.9GHz;16GB;512GB SSD +  256GB SSD;Intel UHD Graphics 620;Windows 10;1.88kg;1 607.96 EUR
354;Asus;VivoBook Flip;2 in 1 Convertible;11.6;Touchscreen 1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5kg;375.00 EUR
355;Dell;Inspiron 5570;Ultrabook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;AMD Radeon 530;Windows 10;1.9kg;663.00 EUR
356;Dell;XPS 15;Notebook;15.6;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06kg;2 027.42 EUR
357;HP;Elitebook 850;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.84kg;1 304.00 EUR
358;MSI;GP72MVR 7RFX;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.7kg;1 409.00 EUR
359;HP;Zbook 15;Workstation;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia Quadro M1200;Windows 10;2.6kg;1 738.27 EUR
360;Toshiba;Tecra A50-C-21G;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16GB;512GB SSD;Nvidia GeForce 930M;Windows 10;2.4kg;1 403.00 EUR
361;Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.02kg;970.90 EUR
362;Lenovo;IdeaPad 320-15IAP;Notebook;15.6;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;No OS;2.2kg;321.99 EUR
363;Dell;Inspiron 7577;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.65kg;999.00 EUR
364;Dell;Inspiron 3567;Notebook;15.6;Touchscreen 1366x768;Intel Core i5 7200U 2.5GHz;8GB;2TB HDD;Intel HD Graphics 620;Windows 10;2.36kg;557.37 EUR
365;Dell;Latitude 7480;Notebook;14;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;1 427.00 EUR
366;HP;250 G6;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.86kg;439.00 EUR
367;Asus;Zenbook UX410UA-GV027T;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2kg;945.00 EUR
368;Lenovo;IdeaPad 320-17IKB;Notebook;17.3;1600x900;Intel Core i5 7200U 2.5GHz;6GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 940MX;Windows 10;2.8kg;719.00 EUR
369;HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.86kg;639.00 EUR
370;Lenovo;IdeaPad 320-15ISK;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;8GB;256GB SSD;Nvidia GeForce 920MX ;No OS;2.2kg;499.00 EUR
371;HP;15-AY023na (N3710/8GB/2TB/W10);Notebook;15.6;1366x768;Intel Pentium Quad Core N3710 1.6GHz;8GB;2TB HDD;Intel HD Graphics 405;Windows 10;2.04kg;389.00 EUR
372;Dell;Inspiron 5770;Notebook;17.3;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.8kg;1 085.00 EUR
373;Lenovo;Legion Y520-15IKBN;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;No OS;2.4kg;809.00 EUR
374;Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon R7 M445;Windows 10;2.33kg;899.00 EUR
375;HP;Elitebook 1040;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;1 750.00 EUR
376;Asus;ZenBook Flip;2 in 1 Convertible;15.6;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12GB;512GB SSD +  2TB HDD;Nvidia GeForce GT 940MX;Windows 10;2.26kg;1 099.00 EUR
377;Acer;Aspire 3;Notebook;15.6;1366x768;AMD A9-Series 9420 3GHz;4GB;128GB SSD;AMD Radeon R5;Windows 10;2.1kg;426.00 EUR
378;Asus;Rog Strix;Gaming;17.3;IPS Panel Full HD 1920x1080;AMD Ryzen 1700 3GHz;16GB;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.25kg;2 199.00 EUR
379;Lenovo;IdeaPad 110-17ACL;Notebook;17.3;1600x900;AMD A8-Series 7410 2.2GHz;4GB;128GB SSD;AMD Radeon R5;Windows 10;2.6kg;489.00 EUR
380;Dell;Inspiron 5379;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.62kg;869.01 EUR
381;HP;15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;AMD A9-Series 9420 3GHz;4GB;256GB SSD;AMD Radeon R5;Windows 10;1.91kg;488.99 EUR
382;Lenovo;Yoga 11e;Netbook;11.6;IPS Panel 1366x768;Intel Celeron Quad Core N3450 1.1GHz;4GB;128GB SSD;Intel HD Graphics 500;Windows 10;1.59kg;553.00 EUR
383;Dell;Inspiron 3552;Notebook;15.6;1366x768;Intel Celeron Dual Core N3060 1.60GHz;4GB;500GB HDD;Intel HD Graphics 400;Windows 10;1.8kg;309.00 EUR
384;Asus;VivoBook E403NA;Notebook;14;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5kg;286.00 EUR
385;Acer;Aspire 7;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Linux;2.4kg;846.00 EUR
386;HP;Omen 17-w212nv;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3.35kg;1 191.00 EUR
387;Lenovo;V310-15ISK (i3-6006U/4GB/128GB/FHD/No;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;No OS;1.85kg;403.50 EUR
388;Asus;ROG Strix;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.3kg;1 655.00 EUR
389;Lenovo;IdeaPad 720S-14IKB;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.5kg;1 099.00 EUR
390;Asus;Zenbook Flip;Ultrabook;13.3;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.1kg;1 748.90 EUR
391;Lenovo;Thinkpad X1;Ultrabook;14;IPS Panel 2560x1440;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.13kg;2 282.00 EUR
392;Lenovo;Ideapad 510S-13IKB;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.5kg;549.00 EUR
393;Dell;Precision 3510;Workstation;15.6;Full HD 1920x1080;Intel Core i5 6440HQ 2.6GHz;8GB;500GB HDD;AMD FirePro W5130M;Windows 10;2.23kg;1 369.00 EUR
394;Dell;Precision 5520;Workstation;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 6820HQ 2.7GHz;8GB;256GB SSD;Nvidia Quadro M1200;Windows 10;2kg;2 135.00 EUR
395;Lenovo;ThinkPad X1;2 in 1 Convertible;14;Touchscreen 2560x1440;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.42kg;2 509.00 EUR
396;Asus;Rog GL753VD-GC042T;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3kg;1 039.00 EUR
397;Asus;Rog GL753VE-GC070T;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;3kg;1 591.00 EUR
399;Acer;Aspire 5;Notebook;15.6;IPS Panel 1366x768;Intel Core i5 8250U 1.6GHz;12GB;1TB HDD;Nvidia GeForce MX130;Windows 10;2.2kg;693.99 EUR
400;MSI;Leopard GP72M;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7kg;1 349.00 EUR
401;Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon R7 M445;Linux;2.33kg;778.87 EUR
402;HP;15-BW004nv (A9-9420/4GB/256GB/Radeon;Ultrabook;15.6;Full HD 1920x1080;AMD A9-Series 9420 3GHz;4GB;256GB SSD;AMD Radeon 520;Windows 10;1.91kg;499.00 EUR
403;Lenovo;ThinkPad E580;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon RX 550;Windows 10;2.1kg;1 229.56 EUR
404;Lenovo;ThinkPad L470;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.9kg;938.00 EUR
405;Dell;Precision M5520;Workstation;15.6;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia Quadro M1200;Windows 10;1.78kg;2 712.00 EUR
406;Lenovo;Thinkpad X1;Ultrabook;14;IPS Panel 2560x1440;Intel Core i7 7500U 2.7GHz;16GB;1TB SSD;Intel HD Graphics 620;Windows 10;1.13kg;2 625.00 EUR
407;Lenovo;IdeaPad 320-15IAP;Notebook;15.6;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;Windows 10;2.2kg;306.00 EUR
408;Asus;FX753VD-GC461T (i7-7700HQ/16GB/1TB;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.9kg;1 529.00 EUR
409;Lenovo;ThinkPad E580;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD +  1TB HDD;AMD Radeon RX 550;Windows 10;2.1kg;1 144.50 EUR
410;Acer;Aspire 7;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Linux;2.5kg;879.00 EUR
411;MSI;GE73VR 7RF;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.8kg;2 249.00 EUR
412;Asus;Zenbook 3;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.10kg;1 873.00 EUR
413;Toshiba;Portege Z30-C-16P;Ultrabook;13.3;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;1 747.00 EUR
414;Dell;Latitude 7480;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7600U 2.8GHz;8GB;512GB SSD;Intel HD Graphics;Windows 10;1.36kg;1 680.00 EUR
415;Lenovo;IdeaPad 320-15ISK;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.2kg;409.00 EUR
416;Lenovo;Lenovo IdeaPad;Notebook;11.6;1366x768;Intel Celeron Dual Core N3350 1.1GHz;2GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.15kg;304.45 EUR
417;Lenovo;ThinkPad P51;Workstation;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;512GB SSD;Nvidia Quadro M1200;Windows 10;2.67kg;1 925.00 EUR
418;Lenovo;Thinkpad T470p;Ultrabook;14;IPS Panel Full HD 2560x1440;Intel Core i7 7700HQ 2.8GHz;8GB;512GB SSD;Nvidia GeForce GT 940MX;Windows 10;1.7kg;1 943.00 EUR
419;HP;15-BS028nv (i3-6006U/4GB/1TB/Radeon;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;AMD Radeon 520;Windows 10;2.1kg;469.00 EUR
420;Acer;Aspire R7;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.6kg;789.01 EUR
421;Asus;ZenBook Flip;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.27kg;928.00 EUR
422;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;AMD Radeon R5 M430;Linux;2.3kg;598.90 EUR
423;Dell;Latitude 3380;Notebook;13.3;1366x768;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.65kg;689.00 EUR
424;HP;EliteBook 1040;Ultrabook;14;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.43kg;1 500.00 EUR
425;Dell;Inspiron 3567;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.14kg;539.95 EUR
426;Lenovo;ThinkPad E480;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon RX 550;Windows 10;1.75kg;1 215.38 EUR
427;Lenovo;Yoga 720-15IKB;2 in 1 Convertible;15.6;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2kg;1 899.00 EUR
428;Chuwi;LapBook 12.3;Notebook;12.3;IPS Panel Retina Display 2736x1824;Intel Celeron Quad Core N3450 1.1GHz;6GB;64GB Flash Storage;Intel HD Graphics 500;Windows 10;1.4kg;449.00 EUR
429;HP;ProBook 650;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;8GB;256GB SSD;Intel HD Graphics 630;Windows 10;2.31kg;1 427.00 EUR
430;Asus;X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce;Notebook;15.6;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Nvidia GeForce 940MX;Linux;2.3kg;597.00 EUR
431;Dell;Alienware 17;Gaming;17.3;IPS Panel 2560x1440;Intel Core i7 7820HK 2.9GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;2 799.00 EUR
